Name,Address
Mendon Fire Hall,"101 Mendon Ionia Rd, Mendon, NY 14506, USA"
Monroe Co Parks Admin Building,"171 Reservoir Ave, Rochester, NY 14620, USA"
Mountain Raise United Church of Christ,"2 Mountain Rise, Fairport, NY 14450, USA"
Mt Olivet Baptist Church,"141 Adams St, Rochester, NY 14608, USA"
Mt Vernon Church,"351 Joseph Ave, Rochester, NY 14605, USA"
Mumford Community Building Meeting Room,"1013 Main St, Mumford, NY 14511, USA"
NE Neighborhood Service Center,"500 Norton St, Rochester, NY 14621, USA"
New Covenant Church Activity Room,"1350 Five Mile Line Rd, Penfield, NY 14526, USA"
New Light United Methodist Church,"2009 Dewey Ave, Rochester, NY 14615, USA"
No. 7 School,"31 Bryan St, Rochester, NY 14613, USA"
No. 8 School Cafeteria,"1180 St Paul St, Rochester, NY 14621, USA"
No. 10 School Gym Foyer,"353 Congress Ave, Rochester, NY 14619, USA"
No. 12 School Main Entrance,"999 South Ave, Rochester, NY 14620, USA"
No. 16 School Gym Foyer,"321 Post Ave, Rochester, NY 14619, USA"
No. 34 School Gym,"530 Lexington Ave, Rochester, NY 14613, USA"
No. 35 School Gym Field St Ent,"194 Field St, Rochester, NY 14620, USA"
No. 39 School Front Common Area,"145 Midland Ave, Rochester, NY 14621, USA"
No. 42 School Gym,"3330 Lake Ave, Rochester, NY 14612, USA"
No. 44 School Main Ent,"820 Chili Ave, Rochester, NY 14611, USA"
North Greece Church of Christ,"1039 N Greece Rd, Rochester, NY 14626, USA"
Northeast Joint Fire Roseland Station Meeting Room,"1391 Salt Rd, Webster, NY 14580, USA"
Northridge Church,"2052 St Paul St, Rochester, NY 14621, USA"
Norton Village Recreation Center,"300 Waring Rd, Rochester, NY 14609, USA"
Ogden Baptist Church,"721 Washington St, Spencerport, NY 14559, USA"
Ogden Town Hall,"269 Ogden Center Rd, Spencerport, NY 14559, USA"
Our Lady Queen of Peace Church,"601 Edgewood Ave, Rochester, NY 14618, USA"
Parma Town Hall,"1300 Hilton Parma Corners Rd, Hilton, NY 14468, USA"
Penfield Community Center Comm Room,"1985 Baird Rd, Penfield, NY 14526, USA"
Penfield Town Hall,"3100 Atlantic Ave, Penfield, NY 14526, USA"
Perinton Community Church,"636 High St Ext, Fairport, NY 14450, USA"
Perinton Mem VFW Post 8495 Meeting Hall,"300 Macedon Center Rd, Fairport, NY 14450, USA"
Perinton Park Community Building Main Entrance,"Perinton Park, 99 O'Connor Rd, Fairport, NY 14450, USA"
Perinton Square Mall Center Entrance,"6720 Pittsford Palmyra Rd, Fairport, NY 14450, USA"
Perinton Town Hall Town Board Room,"1350 Turk Hill Rd, Fairport, NY 14450, USA"
Pieters Family Learning Center Gym,"1025 Commons Way, Rochester, NY 14623, USA"
Pinnacle Place Apts,"919 S Clinton Ave, Rochester, NY 14620, USA"
Pittsford Community Library Building Meeting Room,"24 State St, Pittsford, NY 14534, USA"
Pittsford Town Court,"3750 Monroe Ave Suite 950, Pittsford, NY 14534, USA"
Plymouth Garden Apts,"1400 S Plymouth Ave, Rochester, NY 14611, USA"
Power House Church of God in Christ,"48 Clifton St, Rochester, NY 14608, USA"
PT Pleasant Firemans Assn Main hall,"55 Ewer Ave, Irondequoit, NY 14622, USA"
Riga Congregational Church Hall,"7057 Chili Riga Center Rd, Churchville, NY 14428, USA"
Riga Town Hall Court Room,"Riga Town Hall, 6460 Buffalo Rd, Churchville, NY 14428, USA"
RIT Gene Polisseni Center Gate 2 Entrance,"200 Lomb Memorial Dr, Rochester, NY 14623, USA"
RIT Inn and Conference Center Rear Entrance,"5257 W Henrietta Rd, Henrietta, NY 14467, USA"
Riverview Manor Front Ent,"60 River St # 1, Rochester, NY 14612, USA"
Rochester Academy of Medicine,"1441 East Ave, Rochester, NY 14610, USA"
Rochester Christian Reformed Church,"2750 Atlantic Ave, Penfield, NY 14526, USA"
Rochester Genesee Region Trans Auth,"1372 E Main St, Rochester, NY 14609, USA"
Rochester Highlands Comm Room,"47 Green Knolls Dr, Rochester, NY 14620, USA"
Rush United Methodist Church,"6200 Rush Lima Rd, Rush, NY 14543, USA"
Rush-Henrietta Transportation Bldg,"1133 Lehigh Station Rd, Henrietta, NY 14467, USA"
School Without Walls,"480 Broadway, Rochester, NY 14607, USA"
Seneca Towers,"200 Seth Green Dr, Rochester, NY 14621, USA"
Seymour Library Duryea Rm,"161 East Ave, Brockport, NY 14420, USA"
Solid Rock Church,"1775 East Ave, Rochester, NY 14610, USA"
Southeast Bible Baptist Church Gym,"1850 Fairport Nine Mile Point Rd, Penfield, NY 14526, USA"
Spencerport Bible Church Lounge,"1948 N Union St, Spencerport, NY 14559, USA"
Spencerport Fire District Firehouse No. 3,"2588 S Union St, Spencerport, NY 14559, USA"
Spencerport Firemens Exempt,"75 S Union St, Spencerport, NY 14559, USA"
St Anne Church Foyer Front Ent,"1600 Mt Hope Ave, Rochester, NY 14620, USA"
St Charles Borromeo Church,"3003 Dewey Ave, Rochester, NY 14616, USA"
St John The Evangelist Church,"2400 W Ridge Rd, Rochester, NY 14626, USA"
St Johns Chestnut Court Building,"1 Johnsarbor Dr W, Rochester, NY 14620, USA"
St Lawrence Church Deacon Hall,"1000 N Greece Rd, Greece, NY 14626, USA"
St Paul Blvd Fire House,"433 Cooper Rd, Irondequoit, NY 14617, USA"
St Pius X Church,"3032 Chili Ave, Rochester, NY 14624, USA"
St Simons Terrace Apts Comm Room,"360 St Paul St, Rochester, NY 14605, USA"
St Theodores Church,"168 Spencerport Rd, Rochester, NY 14606, USA"
St Thomas More Church,"2617 East Ave, Rochester, NY 14610, USA"
Stewart Fire Station,"1105 Whitney Rd, Fairport, NY 14450, USA"
Summerville Presbyterian Church,"4845 St Paul Blvd, Rochester, NY 14617, USA"
SUNY Brockport Serc,"321 New Campus Dr, Brockport, NY 14420, USA"
Sweden Town Hall Court Room,"18 State St, Brockport, NY 14420, USA"
Sweden-Clarkson Community Center,"4927 Lake Rd S, Brockport, NY 14420, USA"
The Parish of the Holy Family Parish Life Center,"4100 Lyell Rd, Rochester, NY 14606, USA"
Thomas P Ryan Community Center,"530 Webster Ave, Rochester, NY 14609, USA"
Transfiguration Lutheran Church,"3760 Culver Rd, Rochester, NY 14622, USA"
Trinity Episcopal Church,"3450 W Ridge Rd, Greece, NY 14626, USA"
Trinity Lutheran Church,"191 Nichols St, Spencerport, NY 14559, USA"
Twelve Corners Presbyterian Church,"1200 S Winton Rd, Rochester, NY 14618, USA"
Ukrainian Cultural Center of Rochester,"1040 Jackson Rd, Webster, NY 14580, USA"
Union Station Pk Lodge End Rock Island Rd,"25 Rock Island Rd, North Chili, NY 14514, USA"
United Church of Christ,"570 Klem Rd, Webster, NY 14580, USA"
United Church of Pittsford Social Hall,"123 S Main St, Pittsford, NY 14534, USA"
United Methodist Church of North Chili,"2200 Westside Dr, Rochester, NY 14624, USA"
